Subject,TrialType,BreathFreq_Hz,HeartFreq_Hz,NumBreaths,Apneas,MaxBreathGap_sec,Duration_sec,MeanAeration,StdAeration,AmplitudeRange,FFT_BreathPeak,BreathFreqScore,HeartFreqScore,SignalQuality
1,FEM,0.52206,0.81,32,0,7.3,-0.16,659.61,3450.08,32422.51,0.001,657.003,5,Irregular
1,PEEP,0.41597,1.29585,140,0,5.54,-0.02,364.29,1772.84,23571.01,0,363.001,1.139,Good
1,PEEP_BH,0.98282,0.85885,326,0,7.88,-0.01,701.61,3408.3,27548.59,0,698.959,1.206,Irregular
2,FEM,6.25215,0.83165,365,0,4.66,-0.49,114499.36,508850.21,2952151.37,0.001,114039.462,818.472,Irregular
2,PEEP,0.61505,0.94771,205,0,6.16,-0.41,541.34,2607.18,27358.21,0,539.519,1.617,Irregular
2,PEEP_BH,0.57361,0.80771,192,6,9.2,-0.25,748.77,4166.61,33852.89,0,746.139,1.175,Irregular
3,FEM,0.45855,0.83082,27,0,5.92,-0,919.28,4975.01,47842.63,0.001,916.011,3.84,Good
3,PEEP,0.39281,0.80657,133,0,6.28,-0.3,513.64,2421.33,34981.12,0,511.928,1.545,Good
3,PEEP_BH,0.64991,0.84143,226,0,6.3,-0,678.67,3387.21,27642.81,0,676.333,1.811,Irregular
4,FEM,1.14048,0.80915,64,0,3.7,-3.8,659.48,3448.91,31483.99,0.001,657.214,6.954,Irregular
4,PEEP,0.76727,1.34485,260,0,5.54,-0.84,248.37,1245.63,11230.15,0,247.44,2.316,Irregular
4,PEEP_BH,2.61212,1.37042,863,0,4.84,-3.56,487.42,2404.4,18920.04,0,485.797,1.659,Irregular
5,FEM,0.88144,0.81665,52,1,11.02,-0.66,737.51,4047.72,34779.75,0.001,734.98,3.914,Irregular
5,PEEP,0.38813,1.183,130,0,4.18,-0.37,285.48,1360.83,11231.49,0,284.555,0.897,Good
5,PEEP_BH,0.64392,0.92957,215,0,3.98,-1.37,406.64,1934.73,14921.91,0,405.304,1.005,Irregular
6,FEM,0.14898,1.04582,9,3,9.7,-0.31,666.41,3718.86,38721.54,0.001,664.133,3.398,Irregular
6,PEEP,0.23602,0.98379,79,0,5.92,-0,117.66,921.42,12595.64,0,117.591,0.507,Good
6,PEEP_BH,0.37883,0.93614,128,0,6.42,-3.18,470.56,2314.83,19695.24,0,469.038,1.03,Good
7,FEM,0.62882,0.86332,38,0,5.24,-0.46,409.47,2136.89,22663.69,0.001,407.82,2.204,Irregular
7,PEEP,0.42421,0.80543,142,0,5,-0.86,253.8,1351.63,15210.97,0,252.85,1.998,Good
7,PEEP_BH,0.80592,0.90413,268,0,6.04,-0.74,489.82,2555.47,20948.89,0,487.498,1.823,Irregular
8,FEM,7.70257,0.80832,463,0,3.14,-0.01,116520.05,512039.23,3054291.26,0.001,116035.688,854.9,Irregular
8,PEEP,0.47585,1.13614,159,0,7.4,-0.46,392.76,1985.95,24771.55,0,391.364,1.166,Good
8,PEEP_BH,0.59973,1.07357,198,2,9.42,-0.5,436.32,2273.22,21660.57,0,434.665,1.456,Irregular
9,FEM,5.66166,1.04732,333,0,3.88,-1.33,11166.19,175056.3,3963327.97,0,11165.873,174.132,Irregular
9,PEEP,0.44727,0.80755,152,0,4.86,-1.08,419,1954.3,17449.05,0,417.258,1.212,Good
9,PEEP_BH,0.96747,1.08464,324,0,6.98,-0.82,1415.74,6303.67,42116.93,0,1409.127,1.759,Irregular
10,FEM,0.31735,0.89562,19,1,11.68,-2.49,988.88,5520.48,49184.87,0.001,985.857,5.834,Good
10,PEEP,0.42399,0.88572,140,0,6.64,-0.27,654.31,3066.14,25862.13,0,652.052,1.253,Good
10,PEEP_BH,0.52984,0.82357,180,0,7.28,-0.01,936.37,4668.32,37104.05,0,932.761,1.641,Irregular
11,FEM,0.2447,0.92915,13,2,8.84,-0.36,434.91,2265.61,21424.59,0.001,433.143,3.346,Good
11,PEEP,0.13922,0.85314,47,14,9.84,-0.02,404.4,2029.49,20819.8,0,402.965,0.852,Irregular
11,PEEP_BH,0.36406,0.80884,119,9,9.94,-0.96,544.52,2863.62,23610.09,0,542.528,1.103,Irregular
12,FEM,0.44819,0.84165,26,0,5.26,-0,1203.4,6823.86,58654.17,0.001,1198.827,8.782,Good
12,PEEP,0.31041,0.96157,102,0,7.14,-1.87,314.4,1609.57,25828.83,0,313.411,1.004,Good
12,PEEP_BH,0.39806,0.85657,131,3,8.4,-4.95,747.05,4030.88,32944.99,0,744.398,1.126,Irregular
13,FEM,0.19407,0.80036,12,1,9.86,-0.36,347.11,1741.84,17011.92,0.001,345.38,2.725,Good
13,PEEP,0.2662,1.43887,89,0,7,-0,285.8,1415.93,15445.33,0,284.747,0.772,Good
13,PEEP_BH,0.52671,1.46585,182,0,7.88,-1.06,350.96,1747.67,14345.99,0,349.912,0.764,Irregular
14,FEM,0.19366,1.35748,12,0,7.32,-0.01,404.94,2059.76,20820.23,0.001,403.388,3.072,Good
14,PEEP,0.31205,1.22367,105,0,6.54,-3.82,395.33,1931.77,18550.37,0,393.827,1.188,Good
14,PEEP_BH,0.34347,0.96852,113,4,10.54,-0.46,623.29,3006.87,25782.95,0,621.028,1.568,Irregular
15,FEM,0.83107,0.81832,50,0,7.7,-0.77,694.81,3476.28,32345.1,0.001,692.713,4.651,Irregular
15,PEEP,0.91034,1.16771,306,0,2.98,-0.95,216.58,1037.17,9856.06,0,215.82,1.694,Irregular
15,PEEP_BH,0.9502,1.14639,317,0,5.34,-0.01,654.37,3365.38,26742.04,0,651.909,1.411,Irregular
16,FEM,0.28031,1.15998,17,3,11.6,-0.02,586.82,3261.21,27625.77,0.001,584.793,2.823,Irregular
16,PEEP,0.16882,1.34757,57,17,13.96,-0.01,424.38,2162.69,20605.37,0,422.923,0.932,Irregular
16,PEEP_BH,0.52852,1.45192,175,9,11.34,-0.22,437.37,2222.96,17580.54,0,435.666,0.914,Irregular
17,FEM,0.12007,0.84249,8,4,10.86,-0.11,318.77,1694.44,17013.81,0.001,317.607,1.997,Irregular
